parameter,title,value_min,value_max,init_date,nrt_date,temporal,wms_my,wms_nrt,opendap_my,opendap_nrt
sea_water_velocity,Sea water velocity,0,1,1950-01-01,2020-01-01,daily,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_phy_my_0.083_P1D-m,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy_my_0.083_P1D-m,https://nrt.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m
sea_water_velocity,Sea water velocity,0,1,1950-01-01,2020-01-01,monthly,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_phy_my_0.083_P1M-m,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_phy-cur_anfc_0.083deg_P1M-m,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy_my_0.083_P1M-m,https://nrt.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy-cur_anfc_0.083deg_P1M-m
thetao,Sea water potential temperature,10,40,1950-01-01,2020-01-01,daily,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_phy_my_0.083_P1D-m,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy_my_0.083_P1D-m,https://nrt.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m
thetao,Sea water potential temperature,10,40,1950-01-01,2020-01-01,monthly,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_phy_my_0.083_P1M-m,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_phy-thetao_anfc_0.083deg_P1M-m,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy_my_0.083_P1M-m,https://nrt.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy-thetao_anfc_0.083deg_P1M-m
so,Sea water salinity,10,40,1950-01-01,2020-01-01,daily,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_phy_my_0.083_P1D-m,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy_my_0.083_P1D-m,https://nrt.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m
so,Sea water salinity,10,40,1950-01-01,2020-01-01,monthly,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_phy_my_0.083_P1M-m,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_phy-so_anfc_0.083deg_P1M-m,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy_my_0.083_P1M-m,https://nrt.cmems-du.eu/thredds/dodsC/cmems_mod_glo_phy-so_anfc_0.083deg_P1M-m
chl,Mass concentration of chlorophyll a in sea water,0.01,10,1950-01-01,2020-01-01,daily,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_bgc_my_0.25_P1D-m,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-daily,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_bgc_my_0.25_P1D-m,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-daily
chl,Mass concentration of chlorophyll a in sea water,0.01,10,1950-01-01,2020-01-01,monthly,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_bgc_my_0.25_P1M-m,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-monthly,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_bgc_my_0.25_P1M-m,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-monthly
ph,Sea water pH reported on total scale,5,9,1950-01-01,2020-01-01,daily,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_bgc_my_0.25_P1D-m,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-daily,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_bgc_my_0.25_P1D-m,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-daily
ph,Sea water pH reported on total scale,5,9,1950-01-01,2020-01-01,monthly,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_bgc_my_0.25_P1M-m,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-monthly,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_bgc_my_0.25_P1M-m,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-monthly
ZSD,Secchi depth of sea water,0,70,1900-01-01,2021-07-01,daily,https://my.cmems-du.eu/thredds/wms/cmems_obs-oc_glo_bgc-transp_my_l4-gapfree-multi-4km_P1D,https://nrt.cmems-du.eu/thredds/wms/cmems_obs-oc_glo_bgc-transp_nrt_l4-gapfree-multi-4km_P1D,https://my.cmems-du.eu/thredds/dodsC/cmems_obs-oc_glo_bgc-transp_my_l4-gapfree-multi-4km_P1D,https://nrt.cmems-du.eu/thredds/dodsC/cmems_obs-oc_glo_bgc-transp_nrt_l4-gapfree-multi-4km_P1D
ZSD,Secchi depth of sea water,0,70,1900-01-01,2021-07-01,monthly,https://my.cmems-du.eu/thredds/wms/cmems_obs-oc_glo_bgc-transp_my_l4-multi-4km_P1M,https://nrt.cmems-du.eu/thredds/wms/cmems_obs-oc_glo_bgc-transp_nrt_l4-multi-4km_P1M,https://my.cmems-du.eu/thredds/dodsC/cmems_obs-oc_glo_bgc-transp_my_l4-multi-4km_P1M,https://nrt.cmems-du.eu/thredds/dodsC/cmems_obs-oc_glo_bgc-transp_nrt_l4-multi-4km_P1M
VHM0,Sea surface wave significant height,0,2,1950-01-01,2020-01-01,3-hourly,https://my.cmems-du.eu/thredds/wms/cmems_mod_glo_wav_my_0.2_PT3H-i,https://nrt.cmems-du.eu/thredds/wms/cmems_mod_glo_wav_anfc_0.083deg_PT3H-i,https://my.cmems-du.eu/thredds/dodsC/cmems_mod_glo_wav_my_0.2_PT3H-i,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-wav-001-027
